curve_num,model,n,n_unique_time,dynamic_range,rss,aic,bic,params,Species,Temp,Medium,PopBio_units
234,cubic,6,6,2053.2259064344003,33657.38782107497,59.79337034399009,58.96040822090231,"17.3789,-0.914555,0.00157441,-3.49893e-07",Serratia marcescens,15,Pasteurised Double Cream,N
235,cubic,6,6,2917.19262415093,37792.62081529257,60.48865806077448,59.65569593768669,"-0.690938,-1.74656,0.00368408,-9.42201e-07",Serratia marcescens,15,UHT Double Cream,N
236,gompertz,19,19,452.9647462891605,6357.800751341109,116.44697764750642,119.28029458500572,"627.392,0.00528281,374.977",Arthrobacter sp. 77,0,TGE agar,CFU
237,gompertz,13,13,590.2656295985004,24089.83498598153,103.8197465469501,105.51459461933472,"519.608,0.0144826,149.871",Arthrobacter sp. 77,7,TGE agar,CFU
238,gompertz,7,7,278.5524461150419,1638.264763810912,44.18837918534668,44.02610963251262,"269.655,0.0805153,36.6101",Arthrobacter sp. 77,20,TGE agar,CFU
239,gompertz,10,10,260.1173210434014,618.7134104407153,47.25057084499065,48.15832612397279,"255.696,0.0510183,53.2204",Arthrobacter sp. 77,30,TGE agar,CFU
240,cubic,17,17,0.0529776507789701,0.0018107881384112,-147.50250942813065,-144.16965605190578,"2.72682,-0.000339611,1.15864e-06,-1.00584e-09",Arthrobacter sp. 77,37,TGE agar,CFU
241,logistic,13,13,131.69051117654453,223.0043212078144,42.94914328851662,44.64399136090123,"141.72,0.019029,313.523",Arthrobacter sp. 88,0,TGE agar,CFU
242,gompertz,9,9,189.52975389465072,177.68558576613503,32.84511935082717,33.43679308283583,"194.101,0.0171094,106.867",Arthrobacter sp. 88,7,TGE agar,CFU
243,logistic,14,14,1305.5289898510366,339633.8983459651,147.35192704182978,149.26909903067556,"952.855,0.555156,47.682",Arthrobacter sp. 88,20,TGE agar,CFU
244,cubic,11,11,956.954135465175,18626.516258770636,89.77890794702932,91.3704890382228,"-141.354,2.56102,0.0542621,-0.000200527",Arthrobacter sp. 88,30,TGE agar,CFU
245,quadratic,16,16,0.0606083929988097,0.0025680974955182,-133.7948584091265,-131.47709224240717,"2.73497,0.00013935,-1.79088e-07",Arthrobacter sp. 88,37,TGE agar,CFU
246,logistic,18,18,520.752333638001,6834.970458329204,112.90984204443691,115.5809573181254,"922.821,0.0126018,577.357",Arthrobacter sp. 62,0,TGE agar,CFU
247,logistic,12,12,741.2541205748887,16971.86048954541,93.05286403757064,94.50758398693463,"712.779,0.0267206,221.512",Arthrobacter sp. 62,7,TGE agar,CFU
248,logistic,9,9,712.3570227397947,5929.942652022844,64.41490719407702,65.00658092608566,"671.317,0.234565,48.791",Arthrobacter sp. 62,20,TGE agar,CFU
249,quadratic,10,10,0.04157400195484,0.001717428227668,-80.69512416574534,-79.7873688867632,"2.7902,-0.000144072,2.51943e-07",Arthrobacter sp. 62,30,TGE agar,CFU
250,quadratic,16,16,0.0602262922846499,0.0020903421930744,-137.0882595184561,-134.77049335173675,"2.75238,-6.02485e-05,2.3515e-07",Arthrobacter sp. 62,37,TGE agar,CFU
251,logistic,17,17,241.30194328074936,744.3199076791398,70.24737889060326,72.7470189227719,"484.352,0.0167239,595.361",Arthrobacter aurescens,0,TGE agar,CFU
252,gompertz,11,11,643.610366647103,3199.2838707765204,68.40065700618537,69.59434282458048,"648.439,0.0194172,116.38",Arthrobacter aurescens,7,TGE agar,CFU
253,gompertz,8,8,292.6811943725769,2132.102054124979,50.6833768819898,50.92170150702931,"263.209,0.0574267,47.242",Arthrobacter aurescens,20,TGE agar,CFU
254,gompertz,5,5,643.5842867352153,452.8066619534616,28.530136635706945,27.35845037300924,"687.381,0.0514002,40.5957",Arthrobacter aurescens,30,TGE agar,CFU
255,logistic,8,8,43.59138040870407,19.68697607651545,13.204126100523151,13.442450725562658,"46.9449,0.0454018,133.39",Arthrobacter aurescens,37,TGE agar,CFU
256,gompertz,14,14,72.81258368531421,86.30976259663531,31.46439540432479,33.38156739317056,"95.0372,0.0234467,378.229",Arthrobacter citreus,0,TGE agar,CFU
257,gompertz,10,10,207.80854874214847,646.3545940445244,47.68763167383776,48.5953869528199,"200.425,0.0216174,155.426",Arthrobacter citreus,7,TGE agar,CFU
258,logistic,8,8,562.0752099014975,2669.105323255411,52.48045654910316,52.71878117414266,"549.513,0.0397635,105.116",Arthrobacter citreus,20,TGE agar,CFU
259,gompertz,9,9,205.15427212706248,943.8779972018918,47.87495106184326,48.46662479385192,"196.467,0.0390098,49.265",Arthrobacter citreus,30,TGE agar,CFU
260,logistic,9,9,506.00973929413766,10816.36802751229,69.82432121921957,70.41599495122823,"457.225,0.138913,68.9742",Arthrobacter citreus,37,TGE agar,CFU
261,quadratic,19,19,0.0338011242540798,0.0014649606078064,-173.9369521932976,-171.10363525579828,"2.7434,-3.79396e-05,7.01601e-08",Arthrobacter globiformis,0,TGE agar,CFU
262,gompertz,17,17,112.6567841240326,229.25805127331023,50.227793070869296,52.727433103037946,"130.795,0.00633443,218.567",Arthrobacter globiformis,7,TGE agar,CFU
263,cubic,8,8,144.5777029338711,251.3331711652129,35.57870313942843,35.89646930614777,"-9.62765,1.61424,-0.00727214,1.3512e-05",Arthrobacter globiformis,20,TGE agar,CFU
264,gompertz,8,8,197.61819952278915,337.7686789887178,35.94335790253556,36.18168252757506,"199.145,0.0242188,53.649",Arthrobacter globiformis,30,TGE agar,CFU
265,cubic,7,7,222.44282653865403,200.5198931429084,31.485023173079504,31.26866376930076,"0.659082,4.16963,-0.025828,5.30344e-05",Arthrobacter globiformis,37,TGE agar,CFU
266,quadratic,18,18,0.0480317994393497,0.0019121101305054,-158.6985532368802,-156.02743796319172,"2.74117,-2.73498e-05,1.1038e-07",Arthrobacter simplex,0,TGE agar,CFU
267,gompertz,14,14,313.8064118747112,1610.0059903517902,72.42910188700417,74.34627387584995,"332.032,0.0115691,331.791",Arthrobacter simplex,7,TGE agar,CFU
268,gompertz,7,7,386.3152075168939,3348.2668642722488,49.19201591559041,49.02974636275635,"417.741,0.0161386,98.0108",Arthrobacter simplex,20,TGE agar,CFU
269,cubic,8,8,370.7599279067979,967.5604367608274,46.36269078567503,46.68045695239437,"-10.7045,3.24356,-0.0147359,3.0205e-05",Arthrobacter simplex,30,TGE agar,CFU
