n_points_label,logistic,gompertz,cubic,quadratic
≤10,51.66666666666667,20.833333333333336,24.166666666666668,3.3333333333333335
10–15,42.22222222222222,27.77777777777778,20.0,10.0
15–20,30.76923076923077,28.205128205128204,30.76923076923077,10.256410256410255
20–30,24.390243902439025,7.317073170731707,51.21951219512195,17.073170731707318
≥30,20.0,60.0,20.0,0.0
