curve_num,model,n,n_unique_time,dynamic_range,rss,aic,bic,params,Species,Temp,Medium,PopBio_units
9,cubic,28,28,0.1108504398826975,0.0005146189213489048,-297.3200751979283,-291.9912571572275,"0.0102218,0.000423735,-4.13998e-07,1.76651e-11",Acinetobacter.clacoaceticus.1,5,TSB,OD_595
9,logistic,28,28,0.1108504398826975,0.0005635230742643131,-296.7781900466489,-292.78157651612327,"0.120114,0.0112791,143.406",Acinetobacter.clacoaceticus.1,5,TSB,OD_595
9,gompertz,28,28,0.1108504398826975,0.0006480275067113516,-292.86589387366575,-288.86928034314013,"0.122277,0.00811435,94.2902",Acinetobacter.clacoaceticus.1,5,TSB,OD_595
10,quadratic,28,28,0.09853372434017589,0.00048034436710841746,-301.2499301197931,-297.25331658926746,"0.00509266,0.000400941,-3.9034e-07",Acinetobacter.clacoaceticus.2,5,TSB,OD_595
10,cubic,28,28,0.09853372434017589,0.0004391233041930324,-301.7621749417266,-296.4333569010258,"0.00108072,0.000464472,-6.14629e-07,2.15014e-10",Acinetobacter.clacoaceticus.2,5,TSB,OD_595
10,logistic,28,28,0.09853372434017589,0.0005626949341079199,-296.8193684479636,-292.822754917438,"0.105137,0.0129794,141.868",Acinetobacter.clacoaceticus.2,5,TSB,OD_595
10,gompertz,28,28,0.09853372434017589,0.0005256936754202966,-298.723898952589,-294.7272854220634,"0.106727,0.00935703,98.3676",Acinetobacter.clacoaceticus.2,5,TSB,OD_595
11,quadratic,28,28,0.2121739130434783,0.007654550013568597,-223.73046726310127,-219.73385373257565,"-0.0189897,0.00111064,-1.23943e-06",Stenotrophomonas.maltophilia.1,5,TSB,OD_595
11,cubic,28,28,0.2121739130434783,0.004014436272988704,-239.80175999178746,-234.47294195108665,"-0.0555995,0.00169887,-3.32891e-06,2.01097e-09",Stenotrophomonas.maltophilia.1,5,TSB,OD_595
11,logistic,28,28,0.2121739130434783,0.0021458040360919544,-259.34047302034054,-255.34385948981492,"0.210503,0.0260217,137.706",Stenotrophomonas.maltophilia.1,5,TSB,OD_595
11,gompertz,28,28,0.2121739130434783,0.003339668866351876,-246.95446760904377,-242.95785407851815,"0.211404,0.0182695,111.562",Stenotrophomonas.maltophilia.1,5,TSB,OD_595
12,quadratic,28,28,0.2521739130434784,0.0034299684570457335,-246.20744427811397,-242.21083074758835,"-0.0391889,0.00111534,-1.02574e-06",Stenotrophomonas.maltophilia.2,5,TSB,OD_595
12,cubic,28,28,0.2521739130434784,0.002290828142991162,-255.5092992691944,-250.1804812284936,"-0.0184057,0.000783592,1.49989e-07,-1.13007e-09",Stenotrophomonas.maltophilia.2,5,TSB,OD_595
12,logistic,28,28,0.2521739130434784,0.0012320503066554828,-274.8758425635516,-270.879229033026,"0.261172,0.0144317,200.846",Stenotrophomonas.maltophilia.2,5,TSB,OD_595
12,gompertz,28,28,0.2521739130434784,0.0025913526908670896,-254.05783370889498,-250.06122017836935,"0.266913,0.00957936,156.88",Stenotrophomonas.maltophilia.2,5,TSB,OD_595
13,quadratic,28,28,0.34434782608695713,0.025874856347392027,-189.62726650260728,-185.63065297208166,"0.0423356,0.00165431,-1.84618e-06",Klebsiella.pneumonia,5,TSB,OD_595
13,cubic,28,28,0.34434782608695713,0.009224459314337753,-216.50683393208934,-211.17801589138853,"-0.0368393,0.00291904,-6.32997e-06,4.31005e-09",Klebsiella.pneumonia,5,TSB,OD_595
13,logistic,28,28,0.34434782608695713,0.00450235634230028,-238.59004913856745,-234.59343560804183,"0.380085,0.0243191,105.464",Klebsiella.pneumonia,5,TSB,OD_595
13,gompertz,28,28,0.34434782608695713,0.006588189451998593,-227.93107416340078,-223.93446063287516,"0.382048,0.0173776,79.4822",Klebsiella.pneumonia,5,TSB,OD_595
14,quadratic,28,28,0.0104347826086962,9.824291405230672e-05,-345.68761436468844,-341.6910008341628,"0.0157999,-5.67999e-05,7.93876e-08",Dickeya.zeae,5,TSB,OD_595
14,cubic,28,28,0.0104347826086962,9.711238523880768e-05,-344.01169218874804,-338.68287414804723,"0.0164581,-6.72587e-05,1.16326e-07,-3.54e-11",Dickeya.zeae,5,TSB,OD_595
14,logistic,28,28,0.0104347826086962,0.0002993248717353836,-314.49319559738706,-310.49658206686144,"0.017267,1.03364e-13,274.149",Dickeya.zeae,5,TSB,OD_595
14,gompertz,28,28,0.0104347826086962,0.000299324871728721,-314.4931955980103,-310.49658206748467,"0.0234684,4.5587e-14,264.899",Dickeya.zeae,5,TSB,OD_595
15,quadratic,29,29,0.0365217391304353,0.0002207350214599522,-335.78945870802045,-331.687571218061,"0.00670278,-5.68222e-05,1.40065e-07",Pectobacterium.carotovorum.subsp..Carotovorum.Pcc2,5,TSB,OD_595
15,cubic,29,29,0.0365217391304353,6.582062655777241e-05,-368.88032063137007,-363.41113731142417,"0.00165833,4.12695e-05,-2.3053e-07,3.67327e-10",Pectobacterium.carotovorum.subsp..Carotovorum.Pcc2,5,TSB,OD_595
15,logistic,29,29,0.0365217391304353,0.0001742239103006707,-342.6514871807352,-338.5495996907758,"0.0699582,0.00943353,672.198",Pectobacterium.carotovorum.subsp..Carotovorum.Pcc2,5,TSB,OD_595
15,gompertz,29,29,0.0365217391304353,0.00023768405868152228,-333.6440583402661,-329.54217085030666,"0.0932498,0.0042824,672.198",Pectobacterium.carotovorum.subsp..Carotovorum.Pcc2,5,TSB,OD_595
16,quadratic,28,28,0.4347826086956521,0.055909690486116076,-168.05421796181395,-164.05760443128833,"-0.0682876,0.0023586,-2.6446e-06",Pantoea.agglomerans..RDA.R.,5,TSB,OD_595
16,cubic,28,28,0.4347826086956521,0.029521506701421722,-183.93554101978216,-178.60672297908135,"-0.169292,0.00396026,-8.30435e-06,5.42927e-09",Pantoea.agglomerans..RDA.R.,5,TSB,OD_595
16,logistic,28,28,0.4347826086956521,0.007192292112900776,-225.47459654052528,-221.47798300999966,"0.412331,0.0369379,140.677",Pantoea.agglomerans..RDA.R.,5,TSB,OD_595
16,gompertz,28,28,0.4347826086956521,0.008264239972659595,-221.5846165444222,-217.58800301389658,"0.413292,0.0267889,122.874",Pantoea.agglomerans..RDA.R.,5,TSB,OD_595
17,quadratic,28,28,0.0105073111216548,0.0001330456924300035,-337.1966285107625,-333.20001498023686,"0.00767403,-1.33062e-05,7.96627e-09",Dickeya.zeae..RDA.R.,5,TSB,OD_595
17,cubic,28,28,0.0105073111216548,0.00012143923470158864,-337.7524295785393,-332.4236115378385,"0.00972607,-4.62896e-05,1.24892e-07,-1.12211e-10",Dickeya.zeae..RDA.R.,5,TSB,OD_595
17,logistic,28,28,0.0105073111216548,0.00020785668148411276,-324.7042552031603,-320.7076416726347,"0.00433883,0.61826,22.3493",Dickeya.zeae..RDA.R.,5,TSB,OD_595
17,gompertz,28,28,0.0105073111216548,0.00021175381044611402,-324.18414071289504,-320.1875271823694,"0.00433144,0.595346,22.3493",Dickeya.zeae..RDA.R.,5,TSB,OD_595
18,quadratic,28,28,0.0344278962578637,0.00023847094067599696,-320.85709300338607,-316.86047947286045,"0.017467,0.000107488,-9.75797e-08",Acinetobacter.clacoaceticus..RDA.R.,5,TSB,OD_595
18,cubic,28,28,0.0344278962578637,0.00023820917265479725,-318.88784530508855,-313.55902726438774,"0.0177775,0.000102508,-7.99287e-08,-1.6947e-11",Acinetobacter.clacoaceticus..RDA.R.,5,TSB,OD_595
18,logistic,28,28,0.0344278962578637,0.00024707826521789313,-319.86427771720804,-315.8676641866824,"0.0479002,0.00761512,65.9452",Acinetobacter.clacoaceticus..RDA.R.,5,TSB,OD_595
18,gompertz,28,28,0.0344278962578637,0.0002653174757026668,-317.8700622552891,-313.8734487247635,"0.0484342,0.00653694,23.562",Acinetobacter.clacoaceticus..RDA.R.,5,TSB,OD_595
19,quadratic,28,28,0.1486403716871953,0.0026949216881612167,-252.96053801561402,-248.9639244850884,"-0.0261261,0.000511251,-3.44367e-07",Stenotrophomonas.maltophilia..RDA.R.,5,TSB,OD_595
19,cubic,28,28,0.1486403716871953,0.0005673424621249263,-294.5890547988486,-289.2602367581478,"0.00183942,6.26808e-05,1.24534e-06,-1.52579e-09",Stenotrophomonas.maltophilia..RDA.R.,5,TSB,OD_595
19,logistic,28,28,0.1486403716871953,0.0005055524458887109,-299.8177719670915,-295.8211584365659,"0.157553,0.0122696,267.121",Stenotrophomonas.maltophilia..RDA.R.,5,TSB,OD_595
19,gompertz,28,28,0.1486403716871953,0.0009582131407023505,-281.91405523549844,-277.9174417049728,"0.165208,0.00759902,218.964",Stenotrophomonas.maltophilia..RDA.R.,5,TSB,OD_595
20,quadratic,28,28,0.0086956521739135,0.0001129589696413506,-341.77933164472716,-337.78271811420154,"0.0141759,-4.98311e-05,7.20322e-08",Klebsiella.pneumonia..RDA.R.,5,TSB,OD_595
20,cubic,28,28,0.0086956521739135,0.00011052648437498198,-340.3888771523471,-335.0600591116463,"0.0151453,-6.52148e-05,1.26363e-07,-5.20756e-11",Klebsiella.pneumonia..RDA.R.,5,TSB,OD_595
20,logistic,28,28,0.0086956521739135,0.0002759198035824404,-316.7729347185086,-312.776321187983,"0.0166927,6.33487e-05,671.042",Klebsiella.pneumonia..RDA.R.,5,TSB,OD_595
20,gompertz,28,28,0.0086956521739135,0.0002759199993311147,-316.7729148541826,-312.776301323657,"0.0226869,3.15471e-05,671.041",Klebsiella.pneumonia..RDA.R.,5,TSB,OD_595
21,quadratic,28,28,0.0078564518414907,0.0001245616292530617,-339.04160489772266,-335.04499136719704,"-0.00215254,7.97972e-06,-9.27174e-09",Bacillus.pumilus..RDA.R.,5,TSB,OD_595
21,cubic,28,28,0.0078564518414907,0.00011405821448872173,-339.5081707068783,-334.17935266617746,"-0.0041408,3.96938e-05,-1.21376e-07,1.07443e-10",Bacillus.pumilus..RDA.R.,5,TSB,OD_595
21,logistic,28,28,0.0078564518414907,0.00015002418540797284,-333.83371942764177,-329.83710589711615,"2.0759e-05,0.105226,645.278",Bacillus.pumilus..RDA.R.,5,TSB,OD_595
21,gompertz,28,28,0.0078564518414907,0.00015001508509552005,-333.8354179302966,-329.838804399771,"8.59366e-06,0.0595593,653.392",Bacillus.pumilus..RDA.R.,5,TSB,OD_595
22,quadratic,28,28,0.2964267008447998,0.002585789136355015,-254.11801347275087,-250.12139994222525,"-0.00714099,0.000719346,-3.10524e-07",Clavibacter.michiganensis..RDA.R.,5,TSB,OD_595
22,cubic,28,28,0.2964267008447998,0.0009688286031237992,-279.6055658575414,-274.2767478168406,"0.0173727,0.000327034,1.07904e-06,-1.33368e-09",Clavibacter.michiganensis..RDA.R.,5,TSB,OD_595
22,logistic,28,28,0.2964267008447998,0.0013505048829161469,-272.3054758197713,-268.30886228924567,"0.337557,0.00799118,289.839",Clavibacter.michiganensis..RDA.R.,5,TSB,OD_595
22,gompertz,28,28,0.2964267008447998,0.0013017793074740656,-273.33437734849537,-269.33776381796974,"0.375522,0.00463292,235.15",Clavibacter.michiganensis..RDA.R.,5,TSB,OD_595
23,quadratic,21,21,0.2933333333333331,0.01681380026923241,-143.73163218090303,-140.59806486773277,"0.0619979,0.00194475,-3.25659e-06",Chryseobacterium.balustinum,15,TSB,OD_595
