curve_num,any_negative_popbio,min_popbio,n_points,n_positive_for_log
1,False,0.0052173913043479,29,29
2,False,0.0295652173913047,29,29
3,False,0.0052173913043478,29,29
4,False,0.0052173913043479,31,31
5,True,-0.0011838658983759,29,27
6,False,0.0140762463343111,29,29
7,False,0.0052785923753666,29,29
8,False,0.0035190615835777,29,29
9,False,0.0175953079178884,29,29
10,False,0.0087976539589443,29,29
11,False,0.0052173913043476,29,28
12,False,0.0069565217391303,29,28
13,False,0.0365217391304349,29,28
14,False,0.0034782608695653,29,28
15,True,0.0,29,28
16,False,0.0052173913043476,29,28
17,True,-0.000151583306118,29,27
18,False,0.01249637987023,29,28
19,False,0.0017820281353406,29,28
20,False,0.0034782608695653,29,28
21,True,-0.0034346558874094,29,10
22,False,0.0160678304485264,29,28
23,False,0.0080000000000002,22,21
24,False,0.0266666666666668,30,30
25,True,0.0,27,26
26,True,0.0,27,26
27,False,0.0053333333333334,22,22
28,False,0.008024634334103,24,24
29,False,0.0054072363356425,23,23
30,False,0.0080492686682063,23,23
31,False,0.008024634334103,22,22
32,False,0.0027405696689759,25,25
33,False,0.0052701407827817,23,23
34,False,0.0026227856809413,23,23
35,False,0.0052947102036808,35,32
36,False,0.0291577602515911,25,25
37,False,0.0026350703913911,24,23
38,False,0.0026227856809413,23,23
39,False,0.0026666666666659,24,24
40,False,0.0053271747498069,22,21
41,False,0.0053271747498069,23,22
42,False,0.0160061585835245,32,32
43,False,0.0026666666666663,22,22
44,False,0.0159999999999991,24,24
45,False,0.0079787234042552,12,12
46,False,0.0292553191489362,17,17
47,False,0.0106382978723405,15,15
48,False,0.0053191489361701,15,15
49,False,0.0053191489361701,14,14
50,False,0.0159046557740703,15,15
51,False,0.0105996159862718,13,13
52,False,0.0053102715824611,13,12
53,False,0.0159203511580579,14,13
54,False,0.0053102715824611,15,14
55,False,0.0186170212765955,15,14
56,False,0.0186170212765955,16,16
57,False,0.0398936170212769,17,16
58,False,0.0186170212765959,16,16
59,False,0.0026595744680846,17,17
60,False,0.0106382978723403,17,16
61,False,0.0212201591511936,16,15
62,False,0.0106100795755975,15,14
63,False,0.007957559681698,13,13
64,False,0.0397877984084887,17,16
65,False,0.0026525198938998,15,15
66,False,0.0106100795755975,17,16
67,False,0.0026525198938993,15,15
68,False,0.0265251989389923,17,17
69,False,0.0053102408071981,16,16
70,False,0.0026525198938993,15,15
71,False,1.04020387996506e-05,15,15
72,False,0.0133689839572189,17,17
73,False,0.0053475935828877,17,17
74,False,0.0240641711229943,15,15
75,False,0.0160427807486627,16,16
76,False,0.0133689839572189,16,16
77,False,0.0187667560321723,15,15
78,False,0.0214477211796251,16,16
79,False,0.0268096514745313,18,18
80,False,0.016085790884719,18,18
81,False,0.0187165775401066,16,16
82,False,0.0107238605898132,17,17
83,False,0.0294117647058827,18,18
84,False,0.0133689839572195,15,15
85,False,0.0053475935828877,15,15
86,False,0.0401069518716572,18,18
87,False,0.0053475935828877,17,17
88,False,0.0187165775401064,17,17
89,False,145.712799310917,11,11
90,False,156.605197702724,11,11
91,False,1009.40388628522,11,11
92,False,117.01914844961,11,11
93,True,-668.283935900778,10,8
94,False,379.573588451414,11,11
95,False,1171.2945735114,10,10
96,False,583.257729197925,11,11
97,False,247.620090941506,11,11
98,False,181.643342186246,11,11
99,False,1183.86816923108,12,12
100,False,742.231579387357,12,12
101,False,1250.77165365372,13,13
102,False,773.68482476144,13,13
103,False,1134.7517730495,13,13
104,False,1267.60563380283,13,13
105,False,1134.75177304968,13,13
106,False,1267.60563380283,13,13
107,False,610.407203761279,15,15
108,False,1267.6056338028,12,12
109,False,87.8020886117301,11,11
110,False,113.851373393409,11,11
111,False,113.344182262081,11,11
112,False,175.767354043084,12,12
113,False,285.958485958225,12,12
114,False,1.04734832520669,9,9
115,False,1.05933294181021,8,8
116,False,1.02943205969681,14,14
117,False,1.04473257151008,11,11
118,False,4.31453906649959,9,9
119,False,3.1670108612222,9,9
120,False,0.99531616783365,10,10
121,False,3.29527051398486,6,6
122,False,1.01895678358003,14,13
123,False,1.01895678358003,13,13
124,False,2.48630611748292,12,12
125,False,2.08494355728446,9,9
126,False,1.01459828276328,10,10
127,False,1.76835247702619,7,7
128,False,0.99038468982484,14,13
129,False,1.01459828276328,12,12
130,False,1.32338551430056,11,11
131,False,1.29180265171514,9,9
132,False,1.020528612233,11,11
133,False,1.37477339920939,7,7
134,False,0.972455776677133,11,10
135,False,0.976118947488415,13,13
136,False,1.3026461843735,12,12
137,False,1.98881224454984,9,9
138,False,1.17398845300731,11,11
139,False,1.03381421721742,7,7
140,False,1.03381421721742,12,11
141,False,1.04397547075625,13,13
142,False,1.26953938677518,12,12
143,False,1.48460489042185,8,8
144,False,1.20997329679213,10,10
145,False,19.8805842522665,6,6
146,False,0.956528739103029,13,13
147,False,0.998292058485558,11,11
148,False,1.08736863769518,12,12
149,False,1.2628023432938,9,9
150,False,1.07591421390518,10,10
151,False,5.51414755975255,6,6
152,False,1.02469011894639,13,13
153,False,1.04998983986637,12,12
154,False,1.1575913956832,10,10
155,False,1.71015731926605,8,8
156,False,1.11529752491156,10,10
157,False,3.19662289746867,6,6
158,False,1.00013997457529,15,14
159,False,0.996239913640834,12,12
160,False,1.1248314329944,9,9
161,False,2.78844646298452,6,6
162,False,1.02918858084708,9,9
163,False,1.15984384787522,7,7
164,False,1.00487963784124,14,13
165,False,1.05408557906649,12,12
166,False,1.43822799801308,9,9
167,False,1.40425773922502,9,9
168,False,1.02105186214511,10,10
169,False,0.97938218133124,14,14
170,False,1.25232271619186,7,7
171,False,0.97938218133124,10,10
172,False,1.54883029863413,9,9
173,False,1.39561242508609,8,8
174,False,1.23853428000463,10,10
175,False,1.68437311276258,7,7
176,False,0.968511038854329,14,13
177,False,1.00434096937539,12,12
178,False,1.41962647278287,8,8
179,False,1.31604750701147,8,8
180,False,1.29504408649357,9,9
181,False,1.32368149647086,6,6
182,False,0.980711529345289,12,11
183,False,0.97670498330193,11,11
184,False,1.79602160785952,9,9
185,False,1.43813022532796,10,10
186,False,110.295736071707,7,7
187,False,32.5786846801933,7,6
188,False,36.0352438682172,7,7
189,False,135.896596015444,6,6
190,False,51.4457901258215,6,6
191,False,45.4758136612543,6,6
192,False,246.314193295928,9,9
193,False,90.2156254457614,9,9
194,False,82.7509311549241,7,7
195,False,60.1988620095063,7,7
196,False,43.7945133039,7,6
197,False,90.1211448479806,8,7
198,False,36.4881106576891,8,7
199,False,49.4381414387978,8,7
200,False,149.096509589482,5,5
201,False,36.3243595048996,5,5
202,False,60.8685687935877,5,5
203,False,111.284234468239,7,7
204,False,36.2666102451464,7,7
205,False,50.3570946982332,7,7
206,False,162.273765929338,6,6
207,False,101.057589347325,6,6
208,False,73.7941946735381,6,6
209,False,193.825529996315,6,6
210,False,100.314986290562,6,6
211,False,73.8450785377748,6,6
212,False,124.976410063433,6,5
213,False,81.961530750832,6,6
214,False,41.2128458403547,6,6
215,False,90.0203947417563,7,7
216,False,36.371527350261,7,7
217,False,53.7536328644836,7,7
218,False,0.978836777223656,6,6
219,False,0.978836777223656,7,7
220,False,0.978836777223656,4,4
221,False,0.989361802994066,4,4
222,False,28.131737734355,4,4
223,False,0.978836777223656,5,4
224,False,1.0,8,8
225,False,1.01036372073517,7,7
226,False,1.01036372073517,5,5
227,False,0.999785223368523,4,4
228,False,1.0,5,5
229,False,1.01036372073517,6,6
230,False,1.0,6,5
231,False,1.0,8,8
232,False,1.01069508575999,4,4
233,False,1.0,4,4
234,False,1.01069508575999,6,6
235,False,1.01069508575999,6,6
236,False,2.71778251445753,19,19
237,False,2.71811538026665,13,13
238,False,2.74697898904412,7,7
239,False,2.74563363418563,10,10
240,False,2.6856875223971,17,17
241,False,2.74827930035945,13,13
242,False,2.74500118680927,9,9
243,False,2.74507240855334,14,14
244,False,2.74628346097306,11,11
245,False,2.72449534525147,16,16
246,False,2.73093667864603,18,18
247,False,2.74565157613925,12,12
248,False,2.74565157613925,9,9
249,False,2.76327983209771,10,10
250,False,2.74054046775945,16,16
251,False,2.74436174034663,17,17
252,False,2.71828182845905,11,11
253,False,2.71828182845905,8,8
254,False,2.74436174034663,5,5
255,False,2.74436174034663,8,8
256,False,2.72250258330189,14,14
257,False,2.74424548186552,10,10
258,False,2.74424548186552,8,8
259,False,2.77052535688952,9,9
260,False,2.71834877343238,9,9
261,False,2.72352356937694,19,19
262,False,2.7443171508514,17,17
263,False,2.77080979773788,8,8
264,False,2.77080979773788,8,8
265,False,2.77087912181498,7,7
266,False,2.72295772781862,18,18
267,False,2.7437914465558,14,14
268,False,2.77036840508114,7,7
269,False,2.77036840508114,8,8
270,False,2.79699377885925,8,8
271,False,47.3272189063536,11,10
272,False,88.1457908772029,16,16
273,False,83.6723083825988,18,18
274,False,103.065397867895,16,16
275,False,92.8639852363534,13,13
276,False,35.2937209364775,9,9
277,False,39.2553621304904,20,20
278,False,48.5595873508849,14,14
279,False,66.8033688236728,17,17
280,False,82.6524266572566,15,15
281,False,41.4076900447241,14,13
282,False,44.309929369801,9,9
283,False,58.31935721413,19,19
284,False,46.8126678173278,13,13
285,False,90.5130922052733,14,14
286,False,132.968185136938,13,12
287,False,49.4567673508644,11,11
288,False,1.11971188940429,7,7
289,False,1.11971188940429,7,7
290,False,1.11971188940429,6,6
291,False,1.12503106723449,6,6
292,False,1.72962188903916,7,7
293,False,1.71323767456612,7,7
294,False,1.83749811749399,7,7
295,False,1.84626348837631,7,7
296,False,1.0,8,8
297,False,1.03272814726172,8,7
298,False,1.03272814726172,5,4
299,False,1.0,6,5
300,False,1.0,5,5
301,False,1.04949173070025,7,6
302,False,1.174915149451,151,151
303,False,2.47934036545174,88,88
304,False,1.33931096317057,108,108
305,False,2.18261925744977,89,89
