dyn_quartile,logistic,gompertz,cubic,quadratic
Q1 (low),21.333333333333336,6.666666666666667,52.0,20.0
Q2,35.13513513513514,35.13513513513514,29.72972972972973,0.0
Q3,59.45945945945946,17.56756756756757,21.62162162162162,1.3513513513513513
Q4 (high),51.35135135135135,32.432432432432435,5.405405405405405,10.81081081081081
