curve_num,curve_id,Species,Temp,Medium,Rep,PopBio_units,n_points,time_min,time_max,pop_min,pop_max
16,"Pantoea.agglomerans..RDA.R._5_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Pantoea.agglomerans..RDA.R.,5,TSB,1,OD_595,29,-1.23275711541822,671.489436004889,0.0052173913043476,0.443478260869565
17,"Dickeya.zeae..RDA.R._5_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Dickeya.zeae..RDA.R.,5,TSB,1,OD_595,29,-1.24594083321506,672.046436251826,-0.000151583306118086,0.0103557278155368
18,"Acinetobacter.clacoaceticus..RDA.R._5_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Acinetobacter.clacoaceticus..RDA.R.,5,TSB,1,OD_595,29,-1.26812375606164,671.950310252824,0.01249637987023,0.0539932342085316
19,"Stenotrophomonas.maltophilia..RDA.R._5_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Stenotrophomonas.maltophilia..RDA.R.,5,TSB,1,OD_595,29,-1.24594083321517,671.735875331974,0.0017820281353406,0.155635386691478
20,"Klebsiella.pneumonia..RDA.R._5_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Klebsiella.pneumonia..RDA.R.,5,TSB,1,OD_595,29,-0.0349222978872206,671.042430591933,0.0034782608695653,0.0121739130434788
21,"Bacillus.pumilus..RDA.R._5_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Bacillus.pumilus..RDA.R.,5,TSB,1,OD_595,29,-3.72303388441446,672.050133405634,-0.0034346558874094,0.0044217959540813
22,"Clavibacter.michiganensis..RDA.R._5_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Clavibacter.michiganensis..RDA.R.,5,TSB,1,OD_595,29,-1.27551806367717,671.392040027852,0.0160678304485264,0.319563489373764
23,"Chryseobacterium.balustinum_15_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Chryseobacterium.balustinum,15,TSB,1,OD_595,22,-0.923787528868374,479.445727482679,0.0080000000000002,0.336
24,"Enterobacter.sp._15_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Enterobacter.sp.,15,TSB,1,OD_595,30,-1.4210854715202e-14,479.445727482679,0.0266666666666668,0.858666666666667
25,"Pantoea.agglomerans.1_15_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Pantoea.agglomerans.1,15,TSB,1,OD_595,27,0.0,480.369515011548,0.0,0.701333333333334
26,"Pantoea.agglomerans.2_15_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Pantoea.agglomerans.2,15,TSB,1,OD_595,27,0.0,480.369515011548,0.0,0.794666666666667
27,"Bacillus.pumilus_15_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Bacillus.pumilus,15,TSB,1,OD_595,22,2.77136258660506,480.369515011548,0.0053333333333334,0.173333333333334
28,"Clavibacter.michiganensis_15_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Clavibacter.michiganensis,15,TSB,1,OD_595,24,-1.13686837721616e-13,479.445727482679,0.008024634334103,0.687150115473441
29,"Pseudomonas.fluorescens.1_15_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Pseudomonas.fluorescens.1,15,TSB,1,OD_595,23,1.84757505773666,479.445727482679,0.0054072363356425,0.299842956120092
30,"Pseudomonas.fluorescens.2_15_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Pseudomonas.fluorescens.2,15,TSB,1,OD_595,23,0.923787528868274,480.369515011547,0.0080492686682063,0.286509622786759
31,"Acinetobacter.clacoaceticus.1_15_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Acinetobacter.clacoaceticus.1,15,TSB,1,OD_595,22,-1.13686837721616e-13,480.369515011547,0.008024634334103,0.247895304080061
