PopBio_units,logistic,gompertz,cubic,quadratic
CFU,53.57142857142857,28.57142857142857,12.5,5.357142857142857
N,42.69662921348314,26.96629213483146,21.34831460674157,8.98876404494382
OD_595,23.863636363636363,12.5,52.27272727272727,11.363636363636363
DryWeight,62.5,12.5,25.0,0.0
